-14.3,2055.6,4.7
-12.4,1620,3.6
-11.1,1206,1.1
-10.6,1425.6,0.6
-10.7,1530,0.6
-10.8,1400.4,1.7
-12.4,1180.8,1.1
-14.3,1450.8,1.1
-13.1,1699.2,1.1
-14.6,1954.8,1.9
-13.9,2206.8,2.5
-13.6,2581.2,1.9
-13.3,2286,1.9
-13.5,1810.8,1.9
-12.6,1987.2,0.6
-12.6,1368,1.1
-14,1119.6,1.7
-13.3,997.2,0.6
-13.7,1501.2,1.1
-14,1821.6,1.7
-13.7,1828.8,1.1
-14.2,1519.2,0.6
-14.6,1249.2,1.7
-14.7,1425.6,2.5
-14.5,1461.6,1.1
-13.7,1332,1.1
-13.6,1537.2,0
-13,1760.4,0
-13.4,1915.2,0.6
-13.1,1940.4,1.1
-12.5,2016,0.6
-14.2,2361.6,3.1
-14,2635.2,3.6
-14.2,2739.6,2.5
-14.6,2739.6,2.5
-14.7,2653.2,1.7
-14.4,2440.8,0.6
-13.7,2142,0
-13.2,2120.4,0.6
-14.6,1753.2,0.6
-14.2,1796.4,1.1
-14.6,2008.8,1.7
-14.9,1886.4,1.7
-13.4,1796.4,0
-14.4,1670.4,0.6
-14.5,1674,0.6
-14.6,1072.8,0.6
-15.3,907.2,1.7
-14.1,676.8,1.1
-13.5,1191.6,1.7
-13.8,1742.4,1.7
-14.6,2001.6,2.5
-14.9,2181.6,3.1
-15,2030.4,3.6
-15.1,2052,2.5
-14.8,1951.2,1.9
-15,2437.2,2.5
-14.5,2257.2,3.1
-14.6,2595.6,3.1
-14.5,2617.2,3.1
-14.8,2368.8,2.5
-14.5,2192.4,3.1
-14.5,2365.2,3.1
-14.7,1645.2,1.7
-15.1,2268,1.1
-15.2,2422.8,1.9
-15,2329.2,1.1
-15.3,2192.4,1.9
-15.5,2095.2,1.9
-16.6,1756.8,1.7
-15.3,1605.6,0
-15.4,1609.2,0.6
-15.4,1454.4,0.6
-16,1602,1.1
-15.8,1591.2,1.1
-12.9,1717.2,3.1
-12.8,1810.8,5.3
-12.1,1699.2,8.9
-12,2073.6,9.2
-11.9,2106,9.2
-11.8,2214,8.9
-11.8,2692.8,7.2
-11.7,3034.8,8.9
-11.6,3063.6,9.2
-13.7,3038.4,2.5
-14.5,3016.8,3.1
-14.6,2944.8,3.1
-14.7,2872.8,3.6
-14.5,2761.2,2.5
-14.7,2635.2,2.5
-14.9,2491.2,1.9
-15,2383.2,1.7
-15.3,2088,1.1
-16.2,1915.2,0.6
-16.3,2156.4,0.6
-15.6,2224.8,0.6
-17,2088,0.6
-16.8,2026.8,1.1
-17.6,2124,1.7
